Gene_Name	Alias	Number_of_reads	Normalized_expression	Median	PolyA_class	25%_percentile	75%_percentile	MAX_polyA	MIN_polyA	RANGE_polyA	Mean	Geometric_mean	Standard_deviation	Fop	Codon_class
F45E6.3	tbc-13	24	-3.007494537	78	medium	47.5	101	231	20	211	83.04166667	69.39181056	50.26801432	0.445701357	moderate
F45E6.2	atf-6	61	-1.6617197	72	medium	38.5	103	231	11	220	76.80327869	62.02431165	49.41554135	0.368141593	poor
Y47A7.1	WP:CE31118	248	0.361739273	82.5	medium	56.5	107.5	231	13	218	83.97580645	75.36060232	37.66992976	0.346046512	poor
C01F4.2	rga-6	69	-1.48393258	105	long	45	154	231	9	222	105.3913043	74.99377093	67.51730157	0.308535454	poor
ZK54.2	tps-1	775	2.005595463	111	long	77	142	231	9	222	112.2103226	100.2679404	47.87848486	0.412979569	moderate
ZK54.1	slc-17.1	198	0.036899583	88.5	medium	45	115	231	9	222	86.75757576	73.96038401	43.93190114	0.434080209	moderate
T23F11.4	WP:CE01097	209	0.114902095	82	medium	57	124	231	9	222	90.44497608	77.48067562	45.39489766	0.321311475	poor
T23F11.6	WP:CE41458	56	-1.785102115	88	medium	55	123.5	203	24	179	91	79.87931902	43.62543491	0.281767956	poor
T23F11.1	ppm-2	1716	3.1523768	98	long	70	123	231	12	219	98.14044289	88.70101491	40.43442094	0.420289855	moderate
T23F11.3	cdka-1	329	0.769486736	86	medium	55.5	116.5	231	8	223	87.11246201	75.05116651	42.6411776	0.283643739	poor
T23F11.2	WP:CE01095	61	-1.6617197	71	medium	58.5	88	161	18	143	72.80327869	67.94973426	25.56304946	0.491869919	moderate
ZK1098.3	WP:CE01108	28	-2.785102115	63	short	26	81.5	127	14	113	62.21428571	50.01424191	35.53002467	0.232	poor
ZK1098.2	WP:CE41492	177	-0.124851487	64	short	43	101	220	12	208	75.07909605	63.5772106	42.44191063	0.322734499	poor
ZK1098.1	WP:CE03847	400	1.051399153	84.5	medium	47	123.5	231	8	223	89.165	74.02722992	49.90258285	0.366221264	poor
F14D2.1	bath-27	69	-1.48393258	100	long	62.5	120	223	17	206	94.8115942	85.02097845	39.53031321	0.362068966	poor
ZK1098.7	mrps-23	239	0.308409771	52	short	33.5	81.5	229	5	224	62.66527197	52.68422234	39.15986021	0.40625	moderate
ZK1098.6	WP:CE44285	189	-0.030214613	73	medium	51	95	231	16	215	77.02116402	68.73304628	36.00322703	0.332046332	poor
ZK1098.5	trpp-3	167	-0.208752745	54	short	32.5	96	231	13	218	67.85628743	53.84385084	46.25563898	0.333333333	poor
ZK1098.4	WP:CE00367	690	1.837995514	88	medium	58	119	231	8	223	91.39275362	80.16153789	43.62010844	0.345637584	poor
F08E10.7	scl-24	14	-3.785102115	66	short	54.5	84	166	36	130	72.07142857	66.2289999	32.15690169	0.458128079	moderate
ZK1098.9	WP:CE44126	57	-1.759567023	76	medium	67	87	217	30	187	78.8245614	74.97548796	28.16625006	0.329268293	poor
ZK1098.8	mut-7	493	1.352986799	80	medium	59	99	187	12	175	79.71196755	73.0446441	30.52791425	0.36593786	poor
F28H6.6	WP:CE37365	205	0.087023062	115	long	82.5	144	231	13	218	114.6682927	102.7592882	46.18190142	0.325385694	poor
F35F10.1	WP:CE36840	1064	2.462825398	81	medium	57	108.5	231	11	220	84.26033835	76.16387996	36.31437616	0.4	poor
K07F5.8	WP:CE23859	52	-1.892017319	88.5	medium	80	97.5	176	36	140	93.21153846	89.82823081	26.17789477	0.487084871	moderate
K07F5.9	ssp-10	163	-0.243728883	53	short	40.5	65.5	169	17	152	56.17791411	52.92799842	20.87647581	0.635514019	moderate
C18A3.3	WP:CE28890	895	2.213286835	77	medium	55.5	102	231	11	220	80.19553073	72.7334786	34.00881881	0.472392638	moderate
T06E4.5	WP:CE34090	24	-3.007494537	80.5	medium	65	105.5	210	37	173	88.04166667	82.27919689	34.64038968	0.352313167	poor
K07F5.2	msp-10	370	0.938924423	50.5	short	38	62	128	18	110	52.17837838	49.5567142	17.19414003	0.68852459	moderate
K07F5.3	msp-56	109	-0.824272712	53	short	41	69.5	133	14	119	56.83486239	53.03361129	21.63267736	0.704918033	good
F14D2.5	WP:CE46057	36	-2.422532036	90.5	medium	75.5	104.5	170	43	127	92.66666667	88.64441365	27.20191987	0.382352941	poor
K07F5.6	WP:CE35586	31	-2.638260727	72	medium	53.5	101	201	19	182	80.41935484	70.01996799	41.20113856	0.33924612	poor
T06E4.6	col-146	2958	3.9379493	63	short	44	83	231	5	226	66.17545639	59.30696279	31.11392585	0.73943662	good
K07F5.4	kin-24	204	0.079968305	53	short	38	72	194	9	185	56.0245098	50.37682701	25.50152605	0.414141414	moderate
K07F5.5	nspd-2	702	1.862870183	51	short	41	62	149	10	139	52.54700855	50.02830674	16.30234059	0.641791045	moderate
C04E6.8	WP:CE45283	100	-0.948600847	57.5	short	37.5	85	158	17	141	64.71	56.28610874	33.07061989	0.5546875	moderate
Y67H2A.10	WP:CE44570	224	0.214897885	72.5	medium	42	100.5	231	8	223	79.41517857	65.21550299	48.27351335	0.330522259	poor
T15B7.14	WP:CE35770	18	-3.422532036	136	long	100	144	231	5	226	125.6666667	106.3435561	47.24639904	0.26073132	poor
K08C7.3	epi-1	964	2.320432299	86	medium	60	111	231	6	225	85.77282158	76.70549982	36.14581534	0.479805279	moderate
C04E6.7	WP:CE07912	172	-0.166192283	73.5	medium	47.5	111	206	8	198	79.71511628	68.2647835	39.06576452	0.317596567	poor
K08C7.2	fmo-1	680	1.816933899	95	long	66	127	231	5	226	96.84117647	87.03844482	40.50920097	0.347140039	poor
C04E6.5	WP:CE27053	40	-2.270528942	95	long	73.5	125.5	199	38	161	102.675	95.38013972	39.07709527	0.347222222	poor
C04E6.4	WP:CE35222	12	-4.007494537	90.5	medium	78.5	96	231	35	196	98.08333333	89.90203407	45.25199505	0.35326087	poor
F45G2.1	nas-1	86	-1.166192283	110	long	80.5	136.5	218	18	200	108.5581395	97.48233784	44.88838992	0.398467433	poor
F45G2.3	exo-1	471	1.287126212	65	short	47	90	231	10	221	71.7940552	64.64285995	32.99774886	0.333333333	poor
F45G2.2	myo-6	1192	2.626711483	73	medium	51	95	230	5	225	74.76174497	66.8822737	33.0256451	0.46426146	moderate
F45G2.5	bli-5	87	-1.149513541	68	short	51.5	95.5	231	23	208	75.59770115	68.17160808	34.99834471	0.309278351	poor
F45G2.4	cope-1	644	1.738459841	82.5	medium	50	125.5	231	8	223	92.91149068	77.41051422	53.41100968	0.5	moderate
F45G2.7	WP:CE16050	107	-0.850990051	77	medium	49	114	207	16	191	81	70.68794718	39.59349517	0.384146341	poor
E01G4.4	pqn-27	304	0.655470476	76.5	medium	55	99	231	5	226	78.04276316	68.75141209	35.74850218	0.424488721	moderate
E01G4.5	WP:CE23623	66	-1.548062918	85	medium	53.5	112	231	23	208	89.59090909	77.7413955	45.8419476	0.430107527	moderate
E01G4.6	WP:CE15755	253	0.390536537	113	long	89.5	137	231	11	220	111.4268775	103.2573923	37.24992491	0.583715596	moderate
T06E4.3	atl-1	673	1.802005657	103	long	75	126	231	5	226	100.679049	89.72461314	40.70560188	0.321140718	poor
E01G4.3	WP:CE43394	1314	2.767292523	103.5	long	65.5	134	231	8	223	101.2579909	86.02780779	48.39925862	0.534987342	moderate
Y54E10BR.8	ztf-23	156	-0.307054818	96	long	65	121	231	10	221	96.16025641	85.88676966	41.86003798	0.302729529	poor
C04H5.6	mog-4	282	0.547094315	86	medium	60.5	117	231	13	218	90.29787234	80.92099982	39.05719477		
